type ,abscissa,ordinate,color,value
polygons (15 sides),15.56074952,80.06564029,Grey,5
banana,17.89349871,71.10968734,Blue,1
polygons (15 sides),21.77804048,6.616625307,Grey,5
banana,21.86358128,46.05259335,Orange,1
polygons (11 sides),22.00370914,50.49944012,Grey,22
banana,22.3077,61.7949,Yellow ,1
banana,22.3077,57.1795,Yellow ,1
polygons (11 sides),22.81710748,30.43604034,Grey,22
polygons (11 sides),22.95509327,70.42689515,Grey,22
banana,22.95947898,51.28770679,Orange,1
banana,23.0769,66.4103,Yellow ,1
banana,23.07731951,71.72053967,Blue,1
polygons (11 sides),23.28474798,50.47435283,Grey,22
banana,23.3333,52.9487,Yellow ,1
banana,23.67308186,64.87083914,Blue,1
banana,23.71456629,75.09804908,Blue,1
banana,23.74907191,63.5571719,Blue,1
polygons (11 sides),24.27038239,50.48556769,Grey,22
banana,24.93913687,72.58028581,Blue,1
banana,25.16587084,35.76661395,Orange,1
banana,25.21379046,60.2733986,Orange,1
pentagon ,25.4435257,82.8742005,Neon Green,6
pentagon ,25.48358339,82.92908498,Neon Green,6
banana,25.53800765,60.63023611,Orange,1
pentagon ,25.56511342,82.92409777,Neon Green,6
pentagon ,25.58347508,82.91489113,Neon Green,6
banana,25.58605524,60.84658336,Orange,1
pentagon ,25.8551276,17.08190869,Neon Green,6
pentagon ,25.85756947,17.11384266,Neon Green,6
banana,25.8974,51.0256,Yellow ,1
pentagon ,25.92884427,82.82118411,Neon Green,6
pentagon ,25.98531782,17.20372213,Neon Green,6
banana,25.98549962,74.34938755,Blue,1
pentagon ,26.02564455,16.92501353,Neon Green,6
banana,26.1538,71.4103,Yellow ,1
banana,26.16338746,62.0268149,Orange,1
polygons (11 sides),26.16690928,70.50031512,Grey,22
pentagon ,26.20141928,17.09382391,Neon Green,6
banana,26.31431007,33.2971681,Orange,1
banana,26.32071119,62.39628112,Orange,1
polygons (11 sides),26.33145708,50.49455653,Grey,22
banana,26.45926233,62.63467337,Orange,1
pentagon ,26.49139853,17.40539097,Neon Green,6
banana,26.5135531,32.91874982,Orange,1
banana,26.66664565,62.98097121,Orange,1
banana,26.85952956,63.14183467,Orange,1
Pentagon ,27.02460324,62.90185886,Yellow,5
pentagon ,27.09557036,52.07679944,Neon Green,6
polygons (11 sides),27.14984363,70.21080584,Grey,22
Pentagon ,27.18646384,63.55872965,Yellow,5
banana,27.27961285,19.25728097,Blue,1
pentagon ,27.33886892,51.65304675,Neon Green,6
pentagon ,27.42242921,51.43887623,Neon Green,6
pentagon ,27.43924961,51.71207905,Neon Green,6
pentagon ,27.53046637,51.41484656,Neon Green,6
pentagon ,27.53739532,51.59365408,Neon Green,6
pentagon ,27.55147826,51.48738653,Neon Green,6
Pentagon ,27.57802522,62.82103866,Yellow,5
pentagon ,27.58063881,51.52476126,Neon Green,6
polygons (11 sides),27.63403839,50.50366686,Grey,22
pentagon ,27.63996794,51.39909748,Neon Green,6
pentagon ,27.6740834,51.30411215,Neon Green,6
pentagon ,27.67840297,51.18198917,Neon Green,6
Pentagon ,27.77991911,63.51814752,Yellow,5
pentagon ,27.87826426,50.70890793,Neon Green,6
polygons (11 sides),27.8918898,30.48497026,Grey,22
pentagon ,27.8926589,50.79528152,Neon Green,6
pentagon ,27.89317272,50.66196341,Neon Green,6
polygons (15 sides),27.92264424,25.98687818,Grey,5
polygons (15 sides),28.00332424,46.67219195,Grey,5
banana,28.03760277,26.80382436,Blue,1
Pentagon ,28.08546821,63.59019695,Yellow,5
Pentagon ,28.08727305,63.12328281,Yellow,5
Pentagon ,28.08874132,63.51079443,Yellow,5
banana,28.21781182,28.28029248,Blue,1
polygons (15 sides),28.23678194,56.13959645,Grey,5
Pentagon ,28.58899981,63.02408057,Yellow,5
Pentagon ,28.70444923,61.7775254,Yellow,5
Pentagon ,28.7391415,62.72086389,Yellow,5
Pentagon ,28.8013367,63.38904039,Yellow,5
Pentagon ,28.81132844,61.35785406,Yellow,5
banana,28.97283572,29.05046892,Orange,1
banana,28.9744,74.4872,Yellow ,1
Pentagon ,29.00561416,63.39075133,Yellow,5
Pentagon ,29.2851466,63.38360583,Yellow,5
polygons (11 sides),29.33651065,50.46189397,Grey,22
polygons (15 sides),29.34620043,42.14874183,Grey,5
Pentagon ,29.42268607,63.06846482,Yellow,5
Pentagon ,29.43296052,60.80177654,Yellow,5
banana,29.43684125,67.55452811,Blue,1
banana,29.4872,51.0256,Yellow ,1
Pentagon ,29.60276098,60.15734672,Yellow,5
banana,29.7436,36.0256,Yellow ,1
banana,29.7436,32.1795,Yellow ,1
banana,29.7436,59.8718,Yellow ,1
banana,29.7436,62.1795,Yellow ,1
banana,29.74525392,74.40452683,Blue,1
banana,30,36.7949,Yellow ,1
banana,30,29.1026,Yellow ,1
banana,30.01126425,68.14675637,Blue,1
polygons (15 sides),30.05228987,96.61754235,Grey,5
polygons (15 sides),30.39182766,42.75961287,Grey,5
Clock (3:00),30.44965384,44.995123,Grey,3000
Clock (3:00),30.45024833,79.8348944,Grey,3000
Clock (3:00),30.45495589,63.50177878,Grey,3000
Clock (3:00),30.46221846,32.75047203,Grey,3000
Clock (3:00),30.46484693,82.08923208,Grey,3000
Clock (3:00),30.47463433,52.32215964,Grey,3000
Clock (3:00),30.47682991,39.42460559,Grey,3000
Clock (3:00),30.47805889,28.02058049,Grey,3000
Clock (3:00),30.48599422,47.34794647,Grey,3000
Clock (3:00),30.48739171,19.77947037,Grey,3000
Clock (3:00),30.48956923,77.72988014,Grey,3000
Clock (3:00),30.49130262,43.56137408,Grey,3000
Clock (3:00),30.49218542,55.87891689,Grey,3000
Clock (3:00),30.49442136,45.77347553,Grey,3000
Clock (3:00),30.49807771,62.38498503,Grey,3000
Clock (3:00),30.49950617,53.61252767,Grey,3000
Clock (3:00),30.49954455,49.38209975,Grey,3000
Clock (3:00),30.49959371,26.08556157,Grey,3000
Clock (3:00),30.50099808,48.06969968,Grey,3000
Clock (3:00),30.50116088,38.31413856,Grey,3000
Clock (3:00),30.50159647,82.30712635,Grey,3000
Clock (3:00),30.50207679,36.44121292,Grey,3000
Clock (3:00),30.50347435,38.34855614,Grey,3000
Clock (3:00),30.50477302,26.41662567,Grey,3000
Clock (3:00),30.50483493,28.77148799,Grey,3000
Clock (3:00),30.50911533,22.82554712,Grey,3000
Clock (3:00),30.51166121,66.09371818,Grey,3000
Clock (3:00),30.5183948,68.25258294,Grey,3000
Clock (3:00),30.52036124,65.10040907,Grey,3000
Clock (3:00),30.62022775,60.86008215,Grey,3000
polygons (15 sides),30.84691899,37.3416401,Grey,5
banana,30.88943083,26.32903723,Orange,1
polygons (15 sides),30.99622058,71.69440494,Grey,5
banana,31.00052541,82.5794806,Blue,1
polygons (15 sides),31.00525826,40.68250301,Grey,5
Clock (2:00),31.10686656,89.46163524,Pink,2
banana,31.16860072,69.24542132,Orange,1
banana,31.22187836,26.44085578,Blue,1
banana,31.2821,62.5641,Yellow ,1
banana,31.68957613,26.66640021,Blue,1
Pentagon ,31.7086629,58.83775437,Yellow,5
banana,31.76066917,69.79765539,Orange,1
polygons (15 sides),31.8384977,71.81216539,Grey,5
polygons (11 sides),32.037108,50.50006612,Grey,22
banana,32.0513,26.7949,Yellow ,1
polygons (15 sides),32.14646234,43.48170944,Grey,5
banana,32.21517863,65.60095802,Blue,1
banana,32.26370009,70.3166389,Orange,1
polygons (15 sides),32.33111023,61.41110125,Grey,5
polygons (11 sides),32.37893863,90.14414263,Grey,22
Pentagon ,32.46184674,62.88190292,Yellow,5
polygons (11 sides),32.53070274,70.15739651,Grey,22
banana,32.54238034,70.70241721,Orange,1
banana,32.5641,32.1795,Yellow ,1
polygons (15 sides),32.57902007,1.808115597,Grey,5
banana,32.64425407,70.73255503,Orange,1
polygons (11 sides),32.65609918,70.0510705,Grey,22
Clock (2:00),32.76721796,88.51829458,Pink,2
banana,32.8205,51.0256,Yellow ,1
banana,32.83142061,24.79753815,Orange,1
polygons (11 sides),32.87063916,30.50234175,Grey,22
polygons (15 sides),33.02407002,24.46783039,Grey,5
banana,33.03730125,24.56446249,Orange,1
banana,33.0769,77.5641,Yellow ,1
polygons (15 sides),33.33937429,0.509106735,Grey,5
polygons (11 sides),33.36526443,70.45933544,Grey,22
banana,33.44618293,24.19064341,Orange,1
banana,33.5458051,20.0807081,Blue,1
banana,33.5897,41.4103,Yellow ,1
Clock (2:00),33.72960678,88.62226579,Pink,2
banana,33.79707204,28.69975074,Blue,1
polygons (15 sides),34.11883024,45.73455132,Grey,5
Clock (2:00),34.14094104,4.57766135,Pink,2
Clock (2:00),34.14896821,13.52386987,Pink,2
polygons (15 sides),34.17307376,25.69367431,Grey,5
Clock (2:00),34.23811004,13.71315823,Pink,2
Pentagon ,34.30395791,56.54212591,Yellow,5
polygons (15 sides),34.39836164,59.5444469,Grey,5
Clock (2:00),34.49955831,86.60998505,Pink,2
banana,34.57530901,72.72484118,Orange,1
polygons (11 sides),34.62547027,30.49974103,Grey,22
polygons (11 sides),34.74247144,70.33993489,Grey,22
polygons (11 sides),34.75420747,30.495865,Grey,22
Clock (2:00),34.79459354,13.96968346,Pink,2
polygons (11 sides),34.80070146,30.49793139,Grey,22
polygons (15 sides),35.03062855,12.53664934,Grey,5
banana,35.1282,30.2564,Yellow ,1
banana,35.16136075,22.78684965,Orange,1
Clock (2:00),35.16602939,84.15649198,Pink,2
banana,35.3846,51.4103,Yellow ,1
polygons (15 sides),35.62056177,57.28601558,Grey,5
banana,35.641,79.8718,Yellow ,1
banana,35.6535812,17.51450806,Blue,1
polygons (11 sides),35.6673163,30.52203505,Grey,22
Clock (2:00),35.75187079,94.11676803,Pink,2
banana,35.8974,25.2564,Yellow ,1
polygons (15 sides),35.90360973,91.11186308,Grey,5
banana,36.02709121,22.19543854,Orange,1
Clock (2:00),36.02719822,82.04078065,Pink,2
Clock (2:00),36.03087977,93.12173324,Pink,2
polygons (15 sides),36.35569515,6.00584865,Grey,5
banana,36.3827222,25.23800523,Blue,1
polygons (15 sides),36.44900385,50.54626907,Grey,5
banana,36.46888948,21.87611447,Orange,1
Clock (2:00),36.47549917,17.71894779,Pink,2
Clock (2:00),36.60557824,15.74887589,Pink,2
Clock (2:00),36.6592677,17.68196446,Pink,2
banana,36.6667,45.641,Yellow ,1
Clock (2:00),36.71466334,17.38180986,Pink,2
polygons (11 sides),36.75370024,50.5293043,Grey,22
Clock (2:00),36.79248159,13.39213473,Pink,2
polygons (15 sides),37.00038714,60.26427925,Grey,5
polygons (11 sides),37.01935129,50.4926667,Grey,22
banana,37.02118401,81.95447,Blue,1
Clock (2:00),37.10307364,15.44561165,Pink,2
banana,37.15571048,84.95411141,Blue,1
Clock (2:00),37.22461013,17.98006448,Pink,2
Clock (2:00),37.23824933,83.72492841,Pink,2
banana,37.30994835,72.5861552,Blue,1
polygons (15 sides),37.48841474,60.81440485,Grey,5
banana,37.55511629,24.53766384,Blue,1
Clock (2:00),37.56207634,11.9284457,Pink,2
banana,37.57479502,69.98874444,Blue,1
Clock (2:00),37.57942191,15.01589013,Pink,2
banana,37.6277033,74.55750434,Orange,1
banana,37.6923,25.7692,Yellow ,1
polygons (11 sides),37.79404941,30.49263834,Grey,22
polygons (11 sides),37.79931493,70.46953588,Grey,22
banana,37.94978369,26.52174923,Blue,1
polygons (11 sides),38.03378377,50.49089952,Grey,22
polygons (11 sides),38.05024078,30.40794603,Grey,22
banana,38.2051,49.1026,Yellow ,1
polygons (15 sides),38.30200581,60.01778579,Grey,5
Clock (2:00),38.33775718,92.47271905,Pink,2
Pentagon ,38.38652558,14.58021515,Yellow,5
Pentagon ,38.40401521,14.45194845,Yellow,5
Clock (2:00),38.66016397,21.68954964,Pink,2
polygons (15 sides),38.66446116,33.31723848,Grey,5
banana,38.7179,84.8718,Yellow ,1
banana,38.7179,31.4103,Yellow ,1
banana,38.73185813,83.78935643,Blue,1
Pentagon ,38.76427889,14.36559047,Yellow,5
polygons (15 sides),38.98001542,87.32216069,Grey,5
polygons (15 sides),39.04403669,84.67601083,Grey,5
polygons (15 sides),39.05208648,70.65250285,Grey,5
Clock (2:00),39.05424844,83.1190207,Pink,2
